Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""12-EL Sign/span_History""))",Chrome 113.0.0.0,,,2023-05-19 14:46:40,2023-05-19 14:46:41,0.904s,PASSED
"click(findTestObject(""12-EL Sign/span_Reminder""))",Chrome 113.0.0.0,,,2023-05-19 14:46:41,2023-05-19 14:46:42,1.005s,PASSED
"click(findTestObject(""12-EL Sign/span_Last Modified""))",Chrome 113.0.0.0,,,2023-05-19 14:46:42,2023-05-19 14:46:42,0.871s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-19 14:46:42,2023-05-19 14:46:45,3.017s,PASSED
"click(findTestObject(""12-EL Sign/button_CLOSE""))",Chrome 113.0.0.0,,,2023-05-19 14:46:45,2023-05-19 14:46:46,0.472s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-19 14:46:46,2023-05-19 14:46:49,3.018s,PASSED
"click(findTestObject(""12-EL Sign/mat-icon_exportCSV""))",Chrome 113.0.0.0,,,2023-05-19 14:46:49,2023-05-19 14:46:50,0.655s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-19 14:46:50,2023-05-19 14:46:53,3.013s,PASSED
"click(findTestObject(""12-EL Sign/mat-icon_expandAll""))",Chrome 113.0.0.0,,,2023-05-19 14:46:53,2023-05-19 14:46:53,0.478s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-19 14:46:53,2023-05-19 14:46:56,3.010s,PASSED
"click(findTestObject(""12-EL Sign/mat-icon_refit""))",Chrome 113.0.0.0,,,2023-05-19 14:46:56,2023-05-19 14:46:57,0.457s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-19 14:46:57,2023-05-19 14:47:00,3.015s,PASSED
,,,,,,,
Test Cases/12-EL Sign/04-Send Documents (Add Signer and guest- required field is blank),Chrome 113.0.0.0,,,2023-05-19 14:47:00,2023-05-19 14:47:26,26.196s,PASSED
"click(findTestObject(""12-EL Sign/div_ELSignTrackID""))",Chrome 113.0.0.0,,,2023-05-19 14:47:00,2023-05-19 14:47:01,0.698s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-19 14:47:01,2023-05-19 14:47:04,3.020s,PASSED
"click(findTestObject(""12-EL Sign/span_COMPLETE""))",Chrome 113.0.0.0,,,2023-05-19 14:47:04,2023-05-19 14:47:04,0.558s,PASSED
"verifyElementVisible(findTestObject(""12-EL Sign/snack-bar-container_Please add signer and field""))",Chrome 113.0.0.0,,,2023-05-19 14:47:04,2023-05-19 14:47:05,0.941s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-19 14:47:05,2023-05-19 14:47:08,3.006s,PASSED
"click(findTestObject(""12-EL Sign/button_personADD SIGNER  FIELD""))",Chrome 113.0.0.0,,,2023-05-19 14:47:08,2023-05-19 14:47:09,0.624s,PASSED
